date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics,Tweets_clean,ACTIONS,NOUNS
2018-10-20 02:11:00,319,Trujillo,@ximena_casanova Hasta q te la creas pes royaltty,5,34,6.0,0,0,ximenacasanova q creas pe royaltty,creas,royaltty
2018-10-20 02:11:09,1674,Machala,"¡Qué grande eres, Señor omnipotente! Nosotros mismos hemos aprendido que no hay nadie como tú, y que aparte de ti n… https://t.co/ZNXrdpo99f",12,89,6.5,0,0,¡qué grande eres señor omnipotente mismos aprendido nadie tú aparte n… httpstcoznxrdpo99f,aprendido,"señor, n"
2018-10-20 02:11:22,1403,San Bartolo,"@Patricia_Neyra Las redes? Nooooo, la culpa es de Keiko!!",5,38,6.8,0,0,patricianeyra redes nooooo culpa keiko,,"culpa, redes"
2018-10-20 02:11:24,361,Callao,No hay duda que eres una cagada cabro de shit.,4,22,4.75,0,0,duda cagada cabro shit,,duda
2018-10-20 02:11:25,3745,Miraflores,"I'm at T.G.I. Friday's in Miraflores, Lima https://t.co/ngw32AL7nd",8,54,5.875,0,0,im at tgi friday in miraflores lima httpstcongw32al7nd,,"miraflores, tgi"
2018-10-20 02:11:29,356,Santiago de Surco,Mathias eres hermoso,2,15,7.0,0,0,mathias hermoso,,mathias
2018-10-20 02:11:33,73,Brasil,· 。   ☆∴。🚀  　·ﾟ*。★·  　　· *ﾟ。　　 *  　 · ﾟ🚀。·ﾟ★。  　　　☆ﾟ·。°*💥 ﾟ   　　ﾟ·*·。 ﾟ*  　　　ﾟ🚀.。☆。★　·  　　* ☆ 。·ﾟ*.。  　　  　 *　★ ﾟ·。… https://t.co/Perfk5uwsN,19,87,3.6315789473684212,0,0,· 。 ☆∴。🚀 ·ﾟ。★· · ﾟ。 · ﾟ🚀。·ﾟ★。 ☆ﾟ·。°💥 ﾟ ﾟ··。 ﾟ ﾟ🚀。☆。★ · ☆ 。·ﾟ。 ★ ﾟ·。… httpstcoperfk5uwsn,"·, 🚀, httpstcoperfk5uwsn","☆, ·"
2018-10-20 02:11:42,14465,Socabaya,#SituacionSentimental viendo la vaca y el pollito 😍 https://t.co/9MDduAlSzK,6,61,9.333333333333334,1,0,situacionsentimental viendo vaca pollito 😍 httpstco9mddualszk,,httpstco9mddualszk
2018-10-20 02:11:49,1421,Ecuador,...Mis disculpas público...pero recordamos eso y me indigné jajaja....pero ya está....a seguir...creciendo muchoooo 😍,10,87,7.8,0,0,mi disculpas públicopero recordamos indigné jajajapero estáa seguircreciendo muchoooo 😍,"recordamos, seguircreciendo",disculpas
2018-10-20 02:11:53,630,Brasile,@etagabe :(,1,7,7.0,0,0,etagabe,,etagabe
2018-10-20 02:11:56,1403,San Bartolo,@JaimeChincha @RPPNoticias Se masturba mucho?,4,39,9.0,0,0,jaimechincha rppnoticias masturba mucho,jaimechincha,masturba
2018-10-20 02:11:57,102,Barranco,Ahora que dirá la fuerza n1,4,20,4.25,0,0,ahora dirá fuerza n1,dirá,fuerza
2018-10-20 02:12:20,688,Jesús Maria,"💩💩💩💩 (@ Universidad Peruana de Ciencias Aplicadas - UPC - @upcedu in San Isidro, Lima) https://t.co/Yjq8DIHwnw",12,92,6.75,0,0,💩💩💩💩 universidad peruana ciencias aplicadas upc upcedu in san isidro lima httpstcoyjq8dihwnw,💩,"💩, universidad, ciencias, upc, san, upcedu"
2018-10-20 02:12:20,825,La Molina,@GloriaMonteneg @DiarioUnoPeru @diariocorreo @peruenlanoticia @weblaindustria @ACTransparencia @peru21noticias… https://t.co/pdOIdNMrV9,8,123,14.5,0,0,gloriamonteneg diariounoperu diariocorreo peruenlanoticia weblaindustria actransparencia peru21noticias… httpstcopdoidnmrv9,,"peruenlanoticia, gloriamonteneg"
2018-10-20 02:12:22,630,Brasile,hj eu li 30 páginas e nem senti mds eu tô mt Lula man,13,49,2.8461538461538463,0,1,hj eu li 30 páginas nem sent md eu tô mt lula man,,"mt, páginas"
2018-10-20 02:12:27,425,Brasil,comprei uma base muito cheirosinha 😍,6,36,5.166666666666667,0,0,comprei uma base muito cheirosinha 😍,comprei,base
2018-10-20 02:12:31,146,Chorrillos,Ya quiero verla !,2,12,5.5,0,0,quiero verla,quiero,
2018-10-20 02:12:33,217,San Miguel,Touché,1,6,6.0,0,0,touché,,
