date,followers,location,Tweets,word_count,char_count,avg_word,hastags,numerics
2018-09-21 22:20:13,182,Lima,Hola @RadioDisneyLA votamos por #IDOL de @BTS_twt para que ingrese al #RankingRadioDisney de #RDPerú muchas gracias 😊,17,117,5.9411764705882355,3,0
2018-09-21 22:20:29,448,San Borja,@fernandodavilac @Leaobutron 😊 dónde se celebra señor?,7,54,6.857142857142857,0,0
2018-09-21 22:20:34,237,Lima,@fernandodavilac @Leaobutron Nos llegan fácil.,5,46,8.4,0,0
2018-09-21 22:20:41,1201,Miraflores,"¿Por que no estamos bailando esta canción? Letra sugerente, tomas precisas (aun no supero lo de la papaya 😱), torso… https://t.co/fpyzqwFIYw",21,140,5.714285714285714,0,0
2018-09-21 22:21:03,37,Magdalena Vieja,"@sergiotej En base a èstas corruptelas , Nø se podría revisar fallos?",12,69,4.833333333333333,0,0
2018-09-21 22:21:09,85,Magdalena Vieja,Cómo invitar a alguien a tener Sexo casual,8,42,4.375,0,0
2018-09-21 22:21:13,448,San Borja,"3 puntazos, ahí lo perdieron los pavos, vamos carajo.
#ArribaAlianza",9,68,5.9,1,1
2018-09-21 22:21:15,125,Ate,"Recuperaré mí alcaldía. (@ Entel - CO San Borja - @entelperu in San Borja, Lima) https://t.co/Pf9XHPE9jW",16,104,5.5625,0,0
2018-09-21 22:21:16,182,Lima,Saludos @Studio92 dejamos un voto por FAKE LOVE de @BTS_twt para que suba en el #RKG92 muchas gracias 🙏🏻,19,104,4.526315789473684,1,0
2018-09-21 22:21:26,1171,Miraflores,"En el mar, la vida es más sabrosa... en El Parque Del Amor https://t.co/Y57VTaeP0n",14,82,4.928571428571429,0,0
2018-09-21 22:21:28,3248,San isidro,Desde hace cuanto tiempo que no ganábamos de visita en provincia,11,64,4.909090909090909,0,0
2018-09-21 22:21:29,1193,San Martin de Porres,"@brunohernandezi JAJAJAJA, ven a recogerlo puesssss!!!!",6,55,8.333333333333334,0,0
2018-09-21 22:22:03,151,Bellavista,@IntercambHetero @Enrique37249331 Hola,3,38,12.0,0,0
2018-09-21 22:22:22,2274,Peru,"@MaxxGhe
@midimike001
@moska43RG
@OldiesRecords1
@randyschatzman
@REFLEXiON_ONLY 
@Rolf_Oldejans
@sumie_ram… https://t.co/BVvaAwdkkB",3,132,13.666666666666666,0,0
2018-09-21 22:22:30,1193,San Martin de Porres,Siento la pena de tu adiós,6,26,3.5,0,0
2018-09-21 22:22:31,18,Lima,@alvarosarco @DN_Mariano Por un gato del parque kennedy #ReferendumYA,9,69,6.777777777777778,1,0
